Timestamp,"Suppose that, over the time period the match was active, GiveDirectly raised >>>$4.5 million.<<< If you had donated $10 to GiveDirectly at that time, how much MORE MONEY would they have received than if you had not donated anything? (This includes both money that you donated, and money that Good Ventures donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, GiveDirectly raised >>>$5.1 million.<<< If you had donated $10 to GiveDirectly at that time, how much MORE MONEY would they have received than if you had not donated anything? (This includes both money that you donated, and money that Good Ventures donated that would otherwise not have been donated.)","How much would you donate, if GiveDirectly had raised >>>$4.5 million<<< that was eligible for the match?",$5.1 million?,"How much would you donate, if GiveDirectly had raised >>>$5.1 million<<< that was eligible for the match?","How much would you donate, if GiveDirectly had raised $4.5 million in response to the challenge?","How much would you donate, if GiveDirectly had raised >>>$5.1 million<<< in response to the challenge?","How much would you donate, if GiveDirectly had raised >>>$4.5 million<<< in response to the challenge?","Suppose that, over the time period the match was active, HEA raised >>>$4,500.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think GiveWell's top charities would have received, than if you had not donated anything? (This includes both money that you donated, and money that HEA's anonymous donor donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, HEA raised >>>$5,100.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think GiveWell's top charities would have received, than if you had not donated anything? (This includes both money that you donated, and money that HEA's anonymous donor donated that would otherwise not have been donated.)","How much would you donate, if HEA had raised >>>$4,500<<< that was eligible for the match?","It is January 31st, 2014, 30 minutes before the match expires. HEA has raised >>>$4,500<<< eligible for the match. You are considering donating. How much would you donate?","It is January 20th, 2014, 30 minutes before the match expires. HEA has raised >>>$5,100<<< eligible for the match. You are considering donating. How much would you donate?","How much would you donate, if HEA had raised >>>$5,100<<< that was eligible for the match?","How much would you donate, if HEA had raised >>>$4,500<<< in response to the challenge?","How much would you donate, if HEA had raised >>>$5,100<<< in response to the challenge?","Please type ""I am thinking of a specific friend"" into the box below to confirm that you are thinking of a specific friend.","Suppose that, over the time period the match was active, your friend raised >>>$4,500.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think Cute Puppies for Orphans would have received, than if you had not donated anything? (This includes both money that you donated, and money that your friend donated that would otherwise not have been donated.)","Suppose that, over the time period the match was active, your friend raised >>>$5,100.<<< If you had donated $10 to the fundraiser at that time, how much MORE MONEY do you think Cute Puppies for Orphans would have received, than if you had not donated anything? (This includes both money that you donated, and money that your friend donated that would otherwise not have been donated.)","How much would you donate, if your friend had raised >>>$4,500<<< that was eligible for the match?","How much would you donate, if your friend had raised >>>$4,500<<< in response to the challenge?","How much would you donate, if your friend had raised >>>$5,100<<< in response to the challenge?","How much would you donate, if your friend had raised >>>$5,100<<< that was eligible for the match?",How familiar are you with effective altruism?,How familiar are you with charity fundraisers?,I perceive Good Ventures as...,I would describe Good Ventures as...,I would describe Good Ventures as...,I would describe HEA as...,I would describe HEA as...,I would describe HEA as...,I would describe the friend I'm thinking of as...,I would describe the friend I'm thinking of as...,I would describe the friend I'm thinking of as...,How familiar are you with effective altruism?,"How familiar are you with the idea of a counterfactual, or counterfactual reasoning?",How familiar are you with the idea of utilitarianism?,My level of familiarity with Good Ventures is...,My level of familiarity with HEA is...,"If I learned that funds put up for a matching campaign would be donated regardless of whether the match was fulfilled--for instance, that Good Ventures would have given $5 million to GiveDirectly even if they had raised only $4 million from the public--I would feel...",,,,Untitled Question,17
2/12/2015 19:25:23,10,10,0,,0,,0,0,10,10,0,,,0,0,0,I am thinking of a specific friend,10,10,0,0,0,0,5,4,4,,,3,,,5,,,,5,5,5,2,1,,,,,0
2/12/2015 19:26:51,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,4,1,3,,,3,,,5,,,,4,4,1,4,1,,,,,0
2/12/2015 19:27:09,20,10,25,,25,,25,25,20,10,25,,,25,25,25,I am thinking of a specific friend,20,10,10,10,10,10,5,4,4,,,4,,,5,,,,5,5,4,4,2,,,,,0
2/12/2015 19:41:11,20,10,100,,100,,100,100,20,10,100,,,100,100,100,I am thinking of a specific friend,20,10,100,100,100,100,2,2,3,,,3,,,5,,,,2,3,1,1,2,,,,,0
2/12/2015 19:45:53,20,10,50,,50,,50,50,20,10,50,,,50,50,50,I am thinking of a specific friend,20,10,50,50,50,50,4,3,3,,,4,,,5,,,,5,4,1,2,4,,,,,1
2/12/2015 20:02:04,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,17.5,10,0,0,0,0,5,2,5,,,4,,,4,,,,5,5,4,2,5,,,,,1
2/12/2015 20:19:53,20,20,40,,50,,50,50,20,20,5,,,10,20,30,I am thinking of a specific friend,20,20,300,500,100,250,4,4,3,,,4,,,5,,,,5,5,1,4,5,,,,,1
2/12/2015 20:30:45,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,500,501,0,400,4,3,3,,,4,,,5,,,,5,5,1,3,2,,,,,0
2/12/2015 20:38:44,20,10,100,,100,,100,100,20,10,100,,,100,100,100,I am thinking of a specific friend,20,10,500,500,500,500,3,4,3,,,3,,,5,,,,4,3,1,1,1,,,,,0
2/12/2015 20:43:24,20,10,10,,10,,0,10,20,10,10,,,10,20,10,I am thinking of a specific friend.,20,10,20,20,10,10,3,3,4,,,4,,,5,,,,2,4,1,1,4,,,,,1
2/12/2015 20:43:27,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,4,2,3,,,3,,,5,,,,4,4,1,1,5,,,,,1
2/12/2015 21:14:13,20,11,30,,0,,0,10,20,11,10,,,0,5,0,I am thinking of a specific friend,20,11,2,0,0,0,5,3,4,,,4,,,5,,,,5,5,3,3,4,,,,,1
2/12/2015 22:19:08,20,10,20,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,50,25,25,25,3,4,3,,,3,,,5,,,,2,2,2,1,1,,,,,0
2/12/2015 22:31:56,20,19,0,,0,,0,1,10,10,0,,,0,1,0,I am thinking of a specific friend who is not named Ben,10,10,25,30,10,25,3,4,3,,,4,,,5,,,,2,4,1,3,2,,,,,0
2/12/2015 22:36:07,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,3,1,,,5,,,4,,,,5,4,1,2,5,,,,,1
2/12/2015 22:58:12,10,10,10,,20,,20,20,0,10,10,,,20,10,20,I am thinking of a specific friend ,20,10,250,300,100,50,4,4,3,,,3,,,4,,,,3,3,1,2,5,,,,,1
2/12/2015 23:32:51,10,10,0,,0,,0,0,10,10,0,,,0,0,0,I am thinking of a specific friend,10,10,0,0,0,0,3,3,3,,,3,,,5,,,,1,1,1,1,2,,,,,0
2/13/2015 0:25:46,20,10,10,,10,,10,10,20,10,10,,,10,10,10,I am thinking of a specific friend,20,10,10,10,10,10,4,4,3,,,3,,,5,,,,2,4,1,1,1,,,,,0
2/13/2015 0:41:59,20,10,3000,,3000,,3000,3000,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,4,4,,,3,,,5,,,,5,5,5,2,5,,,,,1
2/13/2015 0:47:33,20,10,10,,10,,0,0,29,10,10,,,0,0,0,I am thinking of a specific friend,20,10,10,0,0,0,1,3,4,,,4,,,5,,,,2,2,2,1,2,,,,,0
2/13/2015 0:59:17,20,20,100,,100,,100,100,20,10,100,,,100,100,100,I am thinking of a specific friend,20,10,10,10,0,0,4,2,3,,,3,,,4,,,,4,4,1,1,4,,,,,1
2/13/2015 1:47:50,13,14,100,,100,,100,100,13,14,20,,,20,20,20,I am thinking of a specific friend.,13,14,20,20,20,20,5,4,4,,,4,,,5,,,,5,5,2,2,1,,,,,0
2/13/2015 3:22:26,10,0,100,,100,,100,150,10,0,10,,,10,10,15,I am thinking of a specific friend,10,0,500,500,0,0,2,2,3,,,5,,,5,,,,4,4,1,2,4,,,,,1
2/13/2015 3:31:19,20,10,10,,10,,10,10,20,10,10,,,10,10,10,I am thinking of a specific friend,20,10,10,10,10,10,1,5,3,,,3,,,5,,,,4,4,1,1,1,,,,,0
2/13/2015 3:35:23,20,10,5,,10,,5,5,20,10,5,,,5,5,5,I am thinking of a specific friend,20,10,20,20,20,20,4,3,3,,,4,,,4,,,,2,4,1,2,4,,,,,1
2/13/2015 4:12:59,20,10,20,,0,,0,0,20,10,40,,,20,20,20,I am thinking of a specific friend,10,10,10,10,10,10,4,3,4,,,5,,,5,,,,3,4,1,4,3,,,,,0
2/13/2015 4:27:26,20,10,0,,0,,0,0,10,10,0,,,0,0,0,I am thinking of a specific friend,10,10,0,0,0,0,5,4,4,,,4,,,4,,,,5,5,4,5,2,,,,,0
2/13/2015 4:37:14,20,10,5,,5,,0,0,20,10,5,,,0,5,0,I am thinking of a specific friend,20,10,50,50,50,50,1,3,3,,,3,,,5,,,,2,3,1,1,3,,,,,0
2/13/2015 4:38:08,1,0,0,,0,,0,0,1,0,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,1,3,1,,,1,,,5,,,,3,5,1,1,3,,,,,0
2/13/2015 4:43:27,20,10,10,,0,,0,0,20,10,50,,,0,10,0,I am thinking of a specific friend,20,10,5,5,0,0,4,5,3,,,3,,,5,,,,2,4,1,2,5,,,,,1
2/13/2015 7:15:13,20,19,100,,100,,100,100,20,19,100,,,0,100,100,I am thinking of a specific friend,20,19,0,0,0,0,4,4,3,,,3,,,3,,,,5,5,2,3,3,,,,,0
2/13/2015 9:13:40,20,10,300,,50,,50,50,20,10,300,,,50,50,50,I am thinking of a specific friend,20,10,300,150,50,50,5,3,3,,,3,,,4,,,,4,5,1,1,3,,,,,0
2/13/2015 9:49:32,20,10,0,,0,,0,0,20,10,20,,,0,0,0,I am thinking of a specific friend,20,10,50,50,50,50,4,4,3,,,1,,,4,,,,5,5,1,3,1,,,,,0
2/13/2015 9:52:05,20,10,500,,500,,500,500,20,10,600,,,500,500,500,I am thinking of a specific friend,20,10,0,0,0,0,5,4,4,,,4,,,5,,,,5,5,4,5,4,,,,,1
2/13/2015 9:58:19,20,10,25,,25,,25,50,20,10,25,,,25,50,25,I am thinking of a specific friend,20,10,20,25,25,10,2,2,1,,,3,,,5,,,,1,2,1,1,1,,,,,0
2/13/2015 10:16:49,20,10,1000,,1000,,1000,1000,10,10,5000,,,5000,100,100,I am thinking of a specific friend,10,10,100,100,100,100,5,5,5,,,5,,,5,,,,5,5,4,5,2,,,,,0
2/13/2015 10:39:42,20,20,100,,50,,25,100,20,20,100,,,50,100,50,I am thinking of a specific friend,20,20,100,100,25,25,3,3,4,,,5,,,5,,,,1,2,2,4,4,,,,,1
2/13/2015 11:49:46,20,19,25,,15,,15,15,20,18,15,,,10,5,5,I am thinking of a specific friend,20,18,30,20,10,10,2,2,3,,,4,,,5,,,,2,3,1,1,2,,,,,0
2/13/2015 12:33:48,20,10,-50,,-50,,-50,-50,20,10,-50,,,-50,-50,-50,I am thinking of a specific friend,20,10,-50,-50,-50,-50,1,1,3,,,3,,,2,,,,1,1,1,1,3,,,,,0
2/13/2015 13:09:20,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,5,15,5,5,4,3,2,,,5,,,5,,,,2,3,1,3,4,,,,,1
2/13/2015 14:52:26,20,10,10,,0,,0,10,20,10,10,,,0,10,0,I am thinking of a specific friend,20,20,10,10,0,0,5,4,3,,,3,,,5,,,,4,5,2,1,2,,,,,0
2/13/2015 16:06:59,20,18,10,,0,,0,5,20,18,10,,,10,5,0,I am thinking of a specific friend,20,18,30,10,0,5,4,2,3,,,4,,,4,,,,1,5,1,1,1,,,,,0
2/13/2015 16:28:34,20,10,100,,100,,100,100,20,10,150,,,100,100,100,I am thinking of a specific friend,20,10,50,50,50,50,5,3,5,,,3,,,4,,,,5,4,5,2,3,,,,,0
2/13/2015 20:54:02,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,3,5,,,5,,,5,,,,5,5,4,3,3,,,,,0
2/13/2015 21:28:57,20,19.8,10,,0,,0,0,20,18,10,,,10,0,0,I am thinking of a specific friend,20,10,10,10,0,10,3,4,3,,,4,,,4,,,,3,4,1,3,2,,,,,0
2/13/2015 21:32:15,10,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,4,4,,,5,,,3,,,,5,5,4,3,3,,,,,0
2/13/2015 22:12:57,20,10,10,,5,,10,10,20,10,10,,,5,10,10,I am thinking of a specific friend,20,10,10,10,10,10,1,4,3,,,3,,,4,,,,1,4,1,1,4,,,,,1
2/14/2015 5:26:21,20,20,25,,0,,0,0,20,20,25,,,0,0,0,I am thinking of a specific friend,20,-5,20,0,0,20,2,4,3,,,3,,,4,,,,2,1,1,2,3,,,,,
2/14/2015 22:22:03,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,3,5,,,3,,,5,,,,5,5,3,1,4,,,,,
2/15/2015 4:13:22,10,10,200,,200,,200,200,10,10,200,,,200,200,200,I am thinking of a specific friend,10,10,200,200,200,200,5,4,5,,,5,,,5,,,,5,5,3,3,1,,,,,
2/15/2015 5:27:34,20,10,20,,0,,0,20,20,10,20,,,0,20,0,I am thinking of a specific friend. ,20,10,20,20,10,10,2,4,3,,,3,,,5,,,,4,4,2,2,4,,,,,
2/16/2015 9:01:49,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,1,1,3,,,3,,,5,,,,2,2,1,1,4,,,,,
2/16/2015 11:43:05,20,19.8,20,,0,,0,0,20,19.8,20,,,15,20,15,I am thinking of a specific friend,20,19.8,10,0,0,0,4,3,3,,,3,,,5,,,,3,4,1,1,2,,,,,
2/17/2015 6:07:52,20,10,20,,0,,20,20,20,10,20,,,0,20,0,I am thinking of a specific friend,20,10,0,0,0,0,5,5,5,,,4,,,5,,,,5,5,4,4,3,,,,,
2/18/2015 4:20:59,20,20,25,,25,,25,25,20,20,25,,,25,25,25,I am thinking of a specific friend,20,20,50,50,50,50,1,3,4,,,3,,,5,,,,1,3,1,1,5,,,,,
2/20/2015 15:08:52,20,19.999,0,,0,,0,0,20,19.99,0,,,0,0,0,I am thinking of a specific friend,20,19.99,15,15,10,10,3,3,2,,,3,,,5,,,,1,3,1,1,3,,,,,
2/21/2015 11:05:08,20,20,1300,,1300,,1300,1300,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,3,4,,,4,,,4,,,,5,5,2,2,3,,,,,
2/21/2015 12:41:21,20,10,0,,0,,0,0,20,10,0,,,0,0,0,I am thinking of a specific friend,20,10,0,0,0,0,5,4,4,,,3,,,3,,,,2,5,1,3,1,,,,,